"EntrezID","Symbol","Description","P value"
"81844","TRIM56","tripartite motif containing 56",6.04544858617828e-10
"55700","MAP7D1","MAP7 domain containing 1",6.29876484303793e-10
"5777","PTPN6","protein tyrosine phosphatase, non-receptor type 6",6.32005336953512e-10
"9826","ARHGEF11","Rho guanine nucleotide exchange factor 11",6.7178818063951e-10
"91050","CCDC149","coiled-coil domain containing 149",6.83925249767015e-10
"6868","ADAM17","ADAM metallopeptidase domain 17",7.00362434713497e-10
"200942","KLHDC8B","kelch domain containing 8B",7.01282143467097e-10
"307","ANXA4","annexin A4",7.0241168437235e-10
"10482","NXF1","nuclear RNA export factor 1",7.23993864859551e-10
"83852","SETDB2","SET domain bifurcated 2",7.2581030075014e-10
"5315","PKM","pyruvate kinase, muscle",7.48458406363284e-10
"54434","SSH1","slingshot protein phosphatase 1",7.59173834907756e-10
"4650","MYO9B","myosin IXB",7.99023847086744e-10
"23243","ANKRD28","ankyrin repeat domain 28",8.05373989720692e-10
"114294","LACTB","lactamase beta",8.07279576520159e-10
"5476","CTSA","cathepsin A",8.07463651497642e-10
"8837","CFLAR","CASP8 and FADD like apoptosis regulator",8.12005351846778e-10
"9909","DENND4B","DENN domain containing 4B",8.19846857069706e-10
"51385","ZNF589","zinc finger protein 589",8.28140667152866e-10
"58495","OVOL2","ovo like zinc finger 2",8.29456059392442e-10
"55573","CDV3","CDV3 homolog",8.39571190347499e-10
"9053","MAP7","microtubule associated protein 7",8.46601677650938e-10
"11221","DUSP10","dual specificity phosphatase 10",8.61666737961286e-10
"79180","EFHD2","EF-hand domain family member D2",8.76105854530351e-10
"117178","SSX2IP","SSX family member 2 interacting protein",8.84431861081225e-10
"5051","PAFAH2","platelet activating factor acetylhydrolase 2",9.7675245669393e-10
"23070","CMTR1","cap methyltransferase 1",9.99311189353591e-10
"4245","MGAT1","mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",1.01283770259641e-09
"23659","PLA2G15","phospholipase A2 group XV",1.04340847073559e-09
"23515","MORC3","MORC family CW-type zinc finger 3",1.06596176330243e-09
"151636","DTX3L","deltex E3 ubiquitin ligase 3L",1.08188635827844e-09
"55785","FGD6","FYVE, RhoGEF and PH domain containing 6",1.110436964602e-09
"23313","KIAA0930","KIAA0930",1.13768505727307e-09
"85464","SSH2","slingshot protein phosphatase 2",1.14972542597513e-09
"1955","MEGF9","multiple EGF like domains 9",1.16423115592568e-09
"9404","LPXN","leupaxin",1.21059273716639e-09
"92017","SNX29","sorting nexin 29",1.23400512030969e-09
"7456","WIPF1","WAS/WASL interacting protein family member 1",1.27660060300627e-09
"8976","WASL","Wiskott-Aldrich syndrome like",1.27748944755979e-09
"10746","MAP3K2","mitogen-activated protein kinase kinase kinase 2",1.27925992021716e-09
"51660","MPC1","mitochondrial pyruvate carrier 1",1.35501498910173e-09
"9267","CYTH1","cytohesin 1",1.36886102453104e-09
"55577","NAGK","N-acetylglucosamine kinase",1.37946876144213e-09
"8303","SNN","stannin",1.4606025278141e-09
"9563","H6PD","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",1.46095646691435e-09
"220002","CYB561A3","cytochrome b561 family member A3",1.49094114831883e-09
"51291","GMIP","GEM interacting protein",1.50590950820373e-09
"284129","SLC26A11","solute carrier family 26 member 11",1.50865930859112e-09
"4155","MBP","myelin basic protein",1.51232315559469e-09
"2889","RAPGEF1","Rap guanine nucleotide exchange factor 1",1.54424273368647e-09
"3988","LIPA","lipase A, lysosomal acid type",1.59499524698958e-09
"89849","ATG16L2","autophagy related 16 like 2",1.61120916608581e-09
"526","ATP6V1B2","ATPase H+ transporting V1 subunit B2",1.65362212811715e-09
"9555","H2AFY","H2A histone family member Y",1.65862967804742e-09
"677","ZFP36L1","ZFP36 ring finger protein like 1",1.66349312102909e-09
"91544","UBXN11","UBX domain protein 11",1.68747249507106e-09
"55707","NECAP2","NECAP endocytosis associated 2",1.73737157993514e-09
"51571","FAM49B","family with sequence similarity 49 member B",1.76646541838466e-09
"115992","RNF166","ring finger protein 166",1.80293058260617e-09
"391","RHOG","ras homolog family member G",1.81518722275342e-09
"55256","ADI1","acireductone dioxygenase 1",1.84051396345808e-09
"5523","PPP2R3A","protein phosphatase 2 regulatory subunit B''alpha",1.84875359465764e-09
"64072","CDH23","cadherin related 23",1.94044014190098e-09
"6310","ATXN1","ataxin 1",2.12456896520052e-09
"54700","RRN3","RRN3 homolog, RNA polymerase I transcription factor",2.14438022894115e-09
"5795","PTPRJ","protein tyrosine phosphatase, receptor type J",2.14606687976016e-09
"1495","CTNNA1","catenin alpha 1",2.1964736696134e-09
"57669","EPB41L5","erythrocyte membrane protein band 4.1 like 5",2.32727770388408e-09
"26118","WSB1","WD repeat and SOCS box containing 1",2.36177899459733e-09
"5898","RALA","RAS like proto-oncogene A",2.3688603301153e-09
"64747","MFSD1","major facilitator superfamily domain containing 1",2.41468867123729e-09
"84270","CARD19","caspase recruitment domain family member 19",2.43777475983364e-09
"8760","CDS2","CDP-diacylglycerol synthase 2",2.43862197102374e-09
"8459","TPST2","tyrosylprotein sulfotransferase 2",2.48522846746368e-09
"8942","KYNU","kynureninase",2.53940624084237e-09
"256356","GK5","glycerol kinase 5 (putative)",2.58591359436622e-09
"2717","GLA","galactosidase alpha",2.64532518112759e-09
"5037","PEBP1","phosphatidylethanolamine binding protein 1",2.6652260398663e-09
"22900","CARD8","caspase recruitment domain family member 8",2.66569855078558e-09
"55151","TMEM38B","transmembrane protein 38B",2.69195599145178e-09
"79944","L2HGDH","L-2-hydroxyglutarate dehydrogenase",2.71267386331431e-09
"79780","CCDC82","coiled-coil domain containing 82",2.71795574935396e-09
"56650","CLDND1","claudin domain containing 1",2.73350853063903e-09
"7357","UGCG","UDP-glucose ceramide glucosyltransferase",2.77522649305695e-09
"83440","ADPGK","ADP dependent glucokinase",2.77774780954587e-09
"6773","STAT2","signal transducer and activator of transcription 2",2.78337397574546e-09
"65005","MRPL9","mitochondrial ribosomal protein L9",2.83726142580321e-09
"89848","FCHSD1","FCH and double SH3 domains 1",2.84932444305497e-09
"154881","KCTD7","potassium channel tetramerization domain containing 7",2.86345380740016e-09
"3140","MR1","major histocompatibility complex, class I-related",2.87242962748735e-09
"6948","TCN2","transcobalamin 2",2.9280351476757e-09
"5152","PDE9A","phosphodiesterase 9A",3.03420355507455e-09
"6778","STAT6","signal transducer and activator of transcription 6",3.04320224575605e-09
"23636","NUP62","nucleoporin 62",3.07095504581412e-09
"5747","PTK2","protein tyrosine kinase 2",3.16118564658296e-09
"26090","ABHD12","abhydrolase domain containing 12",3.19814064120294e-09
"113452","TMEM54","transmembrane protein 54",3.26813232032208e-09
"5096","PCCB","propionyl-CoA carboxylase beta subunit",3.2752116574386e-09
"9189","ZBED1","zinc finger BED-type containing 1",3.31251648333364e-09
"285237","C3orf38","chromosome 3 open reading frame 38",3.33962657528275e-09
"64427","TTC31","tetratricopeptide repeat domain 31",3.37946204354012e-09
"347735","SERINC2","serine incorporator 2",3.43930084412136e-09
"23543","RBFOX2","RNA binding protein, fox-1 homolog 2",3.51018236699474e-09
"55207","ARL8B","ADP ribosylation factor like GTPase 8B",3.5889573535286e-09
"84937","ZNRF1","zinc and ring finger 1",3.61060115139367e-09
"409","ARRB2","arrestin beta 2",3.62660190766917e-09
"145389","SLC38A6","solute carrier family 38 member 6",3.67475605500545e-09
"9754","STARD8","StAR related lipid transfer domain containing 8",3.69767860775028e-09
"51762","RAB8B","RAB8B, member RAS oncogene family",3.71120645326073e-09
"57224","NHSL1","NHS like 1",3.73941544395962e-09
"5432","POLR2C","RNA polymerase II subunit C",3.77099551585047e-09
"393","ARHGAP4","Rho GTPase activating protein 4",3.79210707279753e-09
"7163","TPD52","tumor protein D52",3.80387032983265e-09
"6876","TAGLN","transgelin",3.80619735729226e-09
"5880","RAC2","ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)",3.91969301460904e-09
"22990","PCNX1","pecanex homolog 1",4.03958155814621e-09
"205","AK4","adenylate kinase 4",4.06472455694029e-09
"64744","SMAP2","small ArfGAP2",4.25614121724038e-09
"192670","AGO4","argonaute 4, RISC catalytic component",4.25867074937969e-09
"10287","RGS19","regulator of G protein signaling 19",4.26568580458309e-09
"5912","RAP2B","RAP2B, member of RAS oncogene family",4.27638824351817e-09
"4644","MYO5A","myosin VA",4.32064606314952e-09
"9368","SLC9A3R1","SLC9A3 regulator 1",4.3838539465213e-09
"6777","STAT5B","signal transducer and activator of transcription 5B",4.47355574806352e-09
"114928","GPRASP2","G protein-coupled receptor associated sorting protein 2",4.47474124420921e-09
"64333","ARHGAP9","Rho GTPase activating protein 9",4.52544623996687e-09
"80853","KDM7A","lysine demethylase 7A",4.59777393935212e-09
"64218","SEMA4A","semaphorin 4A",4.60143778635569e-09
"2224","FDPS","farnesyl diphosphate synthase",4.77110573271489e-09
"8764","TNFRSF14","TNF receptor superfamily member 14",4.82735040829851e-09
"55281","TMEM140","transmembrane protein 140",4.8303030464325e-09
"219988","PATL1","PAT1 homolog 1, processing body mRNA decay factor",4.86853579673152e-09
"6282","S100A11","S100 calcium binding protein A11",4.86916218456201e-09
"4794","NFKBIE","NFKB inhibitor epsilon",4.88940088416712e-09
"1523","CUX1","cut like homeobox 1",5.01700303523478e-09
"220213","OTUD1","OTU deubiquitinase 1",5.06506236952475e-09
"200894","ARL13B","ADP ribosylation factor like GTPase 13B",5.19469134374617e-09
"58486","ZBED5","zinc finger BED-type containing 5",5.27675414474515e-09
"5027","P2RX7","purinergic receptor P2X 7",5.32064514668917e-09
"2876","GPX1","glutathione peroxidase 1",5.44919820377743e-09
"716","C1S","complement C1s",5.48369705200002e-09
"2770","GNAI1","G protein subunit alpha i1",5.54182588707874e-09
"91056","AP5B1","adaptor related protein complex 5 beta 1 subunit",5.54703016852898e-09
"121260","SLC15A4","solute carrier family 15 member 4",5.560132798621e-09
"1820","ARID3A","AT-rich interaction domain 3A",5.57754131769173e-09
"9444","QKI","QKI, KH domain containing RNA binding",5.58037915876497e-09
"9489","PGS1","phosphatidylglycerophosphate synthase 1",5.66432323267918e-09
"7170","TPM3","tropomyosin 3",5.69448188603161e-09
"6789","STK4","serine/threonine kinase 4",5.73821012928022e-09
"6780","STAU1","staufen double-stranded RNA binding protein 1",5.76595970969151e-09
"9414","TJP2","tight junction protein 2",5.7669149455819e-09
"7597","ZBTB25","zinc finger and BTB domain containing 25",5.79568060210534e-09
"2548","GAA","glucosidase alpha, acid",5.86057524731842e-09
"4067","LYN","LYN proto-oncogene, Src family tyrosine kinase",5.92392379594742e-09
"8310","ACOX3","acyl-CoA oxidase 3, pristanoyl",5.98413596453184e-09
"427","ASAH1","N-acylsphingosine amidohydrolase 1",6.00686633767111e-09
"23329","TBC1D30","TBC1 domain family member 30",6.115326689482e-09
"81671","VMP1","vacuole membrane protein 1",6.14094908257812e-09
"1445","CSK","C-terminal Src kinase",6.14749495753131e-09
"58191","CXCL16","C-X-C motif chemokine ligand 16",6.17420992110596e-09
"5025","P2RX4","purinergic receptor P2X 4",6.18934503648916e-09
"54557","SGTB","small glutamine rich tetratricopeptide repeat containing beta",6.23083040718342e-09
"1385","CREB1","cAMP responsive element binding protein 1",6.26196583475291e-09
"5634","PRPS2","phosphoribosyl pyrophosphate synthetase 2",6.2637729447701e-09
"57169","ZNFX1","zinc finger NFX1-type containing 1",6.28936169810856e-09
"11064","CNTRL","centriolin",6.32337793238236e-09
"48","ACO1","aconitase 1",6.39459640794371e-09
"90799","CEP95","centrosomal protein 95",6.40230846116197e-09
"54103","GSAP","gamma-secretase activating protein",6.41255359923321e-09
"10577","NPC2","NPC intracellular cholesterol transporter 2",6.44314002151702e-09
"1739","DLG1","discs large MAGUK scaffold protein 1",6.52072851270447e-09
"1512","CTSH","cathepsin H",6.53827436636334e-09
"9990","SLC12A6","solute carrier family 12 member 6",6.63106469733776e-09
"7786","MAP3K12","mitogen-activated protein kinase kinase kinase 12",6.67208122084872e-09
"5825","ABCD3","ATP binding cassette subfamily D member 3",6.75273792438702e-09
"55974","SLC50A1","solute carrier family 50 member 1",6.76155920142918e-09
"989","SEPT7","septin 7",6.81431222560036e-09
"340706","VWA2","von Willebrand factor A domain containing 2",6.9505878830256e-09
"57590","WDFY1","WD repeat and FYVE domain containing 1",6.9686755255205e-09
"2760","GM2A","GM2 ganglioside activator",6.97046620423691e-09
"84687","PPP1R9B","protein phosphatase 1 regulatory subunit 9B",7.00557267752089e-09
"1318","SLC31A2","solute carrier family 31 member 2",7.01542313130687e-09
"23207","PLEKHM2","pleckstrin homology and RUN domain containing M2",7.04652658445326e-09
"5510","PPP1R7","protein phosphatase 1 regulatory subunit 7",7.15470260814755e-09
"5833","PCYT2","phosphate cytidylyltransferase 2, ethanolamine",7.1582353378119e-09
"90410","IFT20","intraflagellar transport 20",7.31714355772795e-09
"10116","FEM1B","fem-1 homolog B",7.43299832794975e-09
"5805","PTS","6-pyruvoyltetrahydropterin synthase",7.45163752924327e-09
"81669","CCNL2","cyclin L2",7.51667039722292e-09
"80301","PLEKHO2","pleckstrin homology domain containing O2",7.53673068398797e-09
"57600","FNIP2","folliculin interacting protein 2",7.55601137214512e-09
"51084","CRYL1","crystallin lambda 1",7.61344076671833e-09
"10154","PLXNC1","plexin C1",7.65968355409541e-09
"10019","SH2B3","SH2B adaptor protein 3",7.66706031996023e-09
"6901","TAZ","tafazzin",7.70922126136497e-09
"23162","MAPK8IP3","mitogen-activated protein kinase 8 interacting protein 3",7.7399162634606e-09
"1509","CTSD","cathepsin D",7.80731634897336e-09
"79026","AHNAK","AHNAK nucleoprotein",7.84267339959399e-09
"54961","SSH3","slingshot protein phosphatase 3",8.03889066425256e-09
"92912","UBE2Q2","ubiquitin conjugating enzyme E2 Q2",8.14208178656628e-09
"25925","ZNF521","zinc finger protein 521",8.31339574958179e-09
"10479","SLC9A6","solute carrier family 9 member A6",8.51278625368934e-09
"2664","GDI1","GDP dissociation inhibitor 1",8.51609183172286e-09
"11222","MRPL3","mitochondrial ribosomal protein L3",8.65326388321819e-09
"6374","CXCL5","C-X-C motif chemokine ligand 5",8.7706427676082e-09
"7919","DDX39B","DExD-box helicase 39B",8.78900197065491e-09
"55357","TBC1D2","TBC1 domain family member 2",8.88570550472423e-09
"7775","ZNF232","zinc finger protein 232",9.02023455928713e-09
"57103","TIGAR","TP53 induced glycolysis regulatory phosphatase",9.0322753720784e-09
"6812","STXBP1","syntaxin binding protein 1",9.07962593998946e-09
"683","BST1","bone marrow stromal cell antigen 1",9.08926134357557e-09
"2651","GCNT2","glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)",9.3676482126881e-09
"10768","AHCYL1","adenosylhomocysteinase like 1",9.54686130150151e-09
"3422","IDI1","isopentenyl-diphosphate delta isomerase 1",9.61628099371836e-09
"10114","HIPK3","homeodomain interacting protein kinase 3",9.66640611999026e-09
"55114","ARHGAP17","Rho GTPase activating protein 17",9.7214972738513e-09
"7791","ZYX","zyxin",9.72805813681532e-09
"867","CBL","Cbl proto-oncogene",9.72971148094359e-09
"3455","IFNAR2","interferon alpha and beta receptor subunit 2",9.91455739729474e-09
"51172","NAGPA","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase",1.00325832086412e-08
"144811","LACC1","laccase domain containing 1",1.00560830773588e-08
"55814","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",1.0066606770387e-08
"64858","DCLRE1B","DNA cross-link repair 1B",1.0075341005944e-08
"9907","AP5Z1","adaptor related protein complex 5 zeta 1 subunit",1.02179202876584e-08
"8395","PIP5K1B","phosphatidylinositol-4-phosphate 5-kinase type 1 beta",1.02680681735023e-08
"5339","PLEC","plectin",1.0286770546486e-08
"23635","SSBP2","single stranded DNA binding protein 2",1.03879942425777e-08
"9935","MAFB","MAF bZIP transcription factor B",1.0861125776529e-08
"987","LRBA","LPS responsive beige-like anchor protein",1.09163533767997e-08
"9093","DNAJA3","DnaJ heat shock protein family (Hsp40) member A3",1.1125026011527e-08
"953","ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1",1.11796163437816e-08
"80821","DDHD1","DDHD domain containing 1",1.13879130569927e-08
"2633","GBP1","guanylate binding protein 1",1.14126805783599e-08
"4354","MPP1","membrane palmitoylated protein 1",1.15057219307602e-08
"10678","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",1.1674975319842e-08
"65264","UBE2Z","ubiquitin conjugating enzyme E2 Z",1.17450151826404e-08
"55743","CHFR","checkpoint with forkhead and ring finger domains",1.18281090477623e-08
"9296","ATP6V1F","ATPase H+ transporting V1 subunit F",1.19147434141098e-08
"23179","RGL1","ral guanine nucleotide dissociation stimulator like 1",1.19290282096784e-08
"2683","B4GALT1","beta-1,4-galactosyltransferase 1",1.2024562012769e-08
"11021","RAB35","RAB35, member RAS oncogene family",1.20263059510961e-08
"387921","NHLRC3","NHL repeat containing 3",1.20923471236267e-08
"64780","MICAL1","microtubule associated monooxygenase, calponin and LIM domain containing 1",1.21733434443883e-08
"282991","BLOC1S2","biogenesis of lysosomal organelles complex 1 subunit 2",1.23811636498772e-08
"64750","SMURF2","SMAD specific E3 ubiquitin protein ligase 2",1.24228071163301e-08
"27292","DIMT1","DIM1 dimethyladenosine transferase 1 homolog",1.25440662301912e-08
"55313","CPPED1","calcineurin like phosphoesterase domain containing 1",1.26810673073408e-08
"80830","APOL6","apolipoprotein L6",1.26813350931343e-08
"571","BACH1","BTB domain and CNC homolog 1",1.27409511829768e-08
"55971","BAIAP2L1","BAI1 associated protein 2 like 1",1.2838478724575e-08
"23360","FNBP4","formin binding protein 4",1.28719865877258e-08
"5638","PRRG1","proline rich and Gla domain 1",1.28866155524321e-08
"10809","STARD10","StAR related lipid transfer domain containing 10",1.28998056680985e-08
"5464","PPA1","pyrophosphatase (inorganic) 1",1.29159150041858e-08
"9620","CELSR1","cadherin EGF LAG seven-pass G-type receptor 1",1.29851438490647e-08
"64419","MTMR14","myotubularin related protein 14",1.30684840726758e-08
"79876","UBA5","ubiquitin like modifier activating enzyme 5",1.34053533829004e-08
"7391","USF1","upstream transcription factor 1",1.34461388689999e-08
"91949","COG7","component of oligomeric golgi complex 7",1.36527644745144e-08
"2217","FCGRT","Fc fragment of IgG receptor and transporter",1.37102702524317e-08
"5293","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",1.40971305739868e-08
"199746","U2AF1L4","U2 small nuclear RNA auxiliary factor 1 like 4",1.4124155178763e-08
"353189","SLCO4C1","solute carrier organic anion transporter family member 4C1",1.42964892146935e-08
"9516","LITAF","lipopolysaccharide induced TNF factor",1.43761145210419e-08
"201134","CEP112","centrosomal protein 112",1.43928198248489e-08
"11057","ABHD2","abhydrolase domain containing 2",1.45234453352572e-08
"146705","TEPSIN","TEPSIN, adaptor related protein complex 4 accessory protein",1.45837183440634e-08
"25816","TNFAIP8","TNF alpha induced protein 8",1.46893859298558e-08
"51524","TMEM138","transmembrane protein 138",1.47176564269103e-08
"8567","MADD","MAP kinase activating death domain",1.50278917088187e-08
"55697","VAC14","Vac14, PIKFYVE complex component",1.50709223989409e-08
"11034","DSTN","destrin, actin depolymerizing factor",1.52557491084337e-08
"3092","HIP1","huntingtin interacting protein 1",1.53365995458898e-08
"8826","IQGAP1","IQ motif containing GTPase activating protein 1",1.53509214229075e-08
"27250","PDCD4","programmed cell death 4",1.53983950035297e-08
"84934","RITA1","RBPJ interacting and tubulin associated 1",1.54281869502171e-08
"22836","RHOBTB3","Rho related BTB domain containing 3",1.54769641547148e-08
"25939","SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1",1.55888514319358e-08
"6891","TAP2","transporter 2, ATP binding cassette subfamily B member",1.56157619057851e-08
"9765","ZFYVE16","zinc finger FYVE-type containing 16",1.56282506935668e-08
"1845","DUSP3","dual specificity phosphatase 3",1.59890862772016e-08
"25798","BRI3","brain protein I3",1.60350663858111e-08
"79071","ELOVL6","ELOVL fatty acid elongase 6",1.61187114766648e-08
"64426","SUDS3","SDS3 homolog, SIN3A corepressor complex component",1.61405953047478e-08
"5887","RAD23B","RAD23 homolog B, nucleotide excision repair protein",1.62206732490233e-08
"4193","MDM2","MDM2 proto-oncogene",1.62529254499333e-08
"79709","COLGALT1","collagen beta(1-O)galactosyltransferase 1",1.63472015923816e-08
"5184","PEPD","peptidase D",1.65745821512076e-08
"9334","B4GALT5","beta-1,4-galactosyltransferase 5",1.65782038097362e-08
"79961","DENND2D","DENN domain containing 2D",1.66229284781494e-08
"54625","PARP14","poly(ADP-ribose) polymerase family member 14",1.66765674602942e-08
"11022","TDRKH","tudor and KH domain containing",1.69316662912422e-08
"4478","MSN","moesin",1.69522585968807e-08
"9805","SCRN1","secernin 1",1.70371032837124e-08
"7046","TGFBR1","transforming growth factor beta receptor 1",1.70427039147825e-08
"10184","LHFPL2","LHFPL tetraspan subfamily member 2",1.71476922661284e-08
"375341","C3orf62","chromosome 3 open reading frame 62",1.71634751966465e-08
"8540","AGPS","alkylglycerone phosphate synthase",1.71785659031087e-08
"80344","DCAF11","DDB1 and CUL4 associated factor 11",1.72579589508004e-08
"9859","CEP170","centrosomal protein 170",1.72580408852596e-08
"79847","MFSD13A","major facilitator superfamily domain containing 13A",1.72837590906028e-08
"3930","LBR","lamin B receptor",1.75528362955646e-08
"26292","MYCBP","MYC binding protein",1.77037140502989e-08
"9988","DMTF1","cyclin D binding myb like transcription factor 1",1.77992319772002e-08
"11171","STRAP","serine/threonine kinase receptor associated protein",1.79160822844082e-08
"55177","RMDN3","regulator of microtubule dynamics 3",1.79527412935698e-08
"26277","TINF2","TERF1 interacting nuclear factor 2",1.80639392333148e-08
"1979","EIF4EBP2","eukaryotic translation initiation factor 4E binding protein 2",1.83264164954622e-08
"4597","MVD","mevalonate diphosphate decarboxylase",1.83686343913081e-08
"8028","MLLT10","MLLT10, histone lysine methyltransferase DOT1L cofactor",1.84324582264139e-08
"79585","CORO7","coronin 7",1.86354556230839e-08
"9654","TTLL4","tubulin tyrosine ligase like 4",1.88976516657391e-08
"100505783","OSER1-AS1","OSER1 antisense RNA 1 (head to head)",1.8925653266777e-08
"9589","WTAP","WT1 associated protein",1.90154950674426e-08
"27102","EIF2AK1","eukaryotic translation initiation factor 2 alpha kinase 1",1.91142512928621e-08
"10087","COL4A3BP","collagen type IV alpha 3 binding protein",1.91306777086453e-08
"8887","TAX1BP1","Tax1 binding protein 1",1.91992354237058e-08
"54540","FAM193B","family with sequence similarity 193 member B",1.93194901187965e-08
